Municipio,Solido/Semisolido (kg),Liquido (kg),Gaseoso (kg)
BARBOSA,336774,8298,0
BELLO,30427,3434,0
COPACABANA,31039,47005,0
GIRARDOTA,70136,60174,0
MEDELLIN,243541,2434,64
AMAGA,70817,3065,0
CALDAS,15072,826,0
ENVIGADO,4854,2723,0
ITAGUI,241,1492,0
LA ESTRELLA,222238,23968,0
SABANETA,3452,7439,0
TITIRIBI,10163,4742,0
FREDONIA,340,11,0
JERICO,1419,518,0
LA PINTADA,20697,18529,0
SANTA BARBARA,612,172,0
TAMESIS,1203,189,0
TARSO,3595,9440,0
VALPARAISO,790,0,0
VENECIA,470,186,0
ANDES,362,3246,0
BETANIA,1021,0,0
CIUDAD BOLIVAR,1309,6738,0
HISPANIA,281,395,0
JARDIN,0,1133,0
SALGAR,170,343,0
BURITICA,17048,0,0
EBEJICO,2130,0,0
SAN JERONIMO,2372,5,0
SANTA FÉ DE ANTIOQUIA,24155,6462,73
SOPETRAN,244,0,0
CACERES,235,0,0
CAUCASIA,18088,15447,0
EL BAGRE,35823,75977,0
NECHI,122,0,0
TARAZA,565,1708,0
VALDIVIA,62923,135133,0
ZARAGOZA,45350,9395,0
ANGELOPOLIS,163,770,0
ANGOSTURA,5605,3367,0
ANORI,6995,1493,0
BRICEÑO,914,0,0
CAROLINA,938,137,0
DONMATÍAS,3485,6766,0
ENTRERRIOS,1961,1355,0
GOMEZ PLATA,1638,970,0
GUADALUPE,2500,827,0
ITUANGO,97913,197022,0
SAN ANDRES,696,0,0
SAN PEDRO DE LOS MILAGROS,3327,2575,0
SANTA ROSA DE OSOS,5843,105359,0
TOLEDO,348,0,0
YARUMAL,35869,1332,0
AMALFI,10431,25397,65
CARACOLI,23,376,0
CISNEROS,1100,0,0
MACEO,2240,0,0
PUERTO BERRIO,7846,997,0
PUERTO NARE,21828,26872,0
REMEDIOS,260,0,0
SEGOVIA,34327,13537,0
VEGACHI,2691,0,0
YALI,1667,0,0
YOLOMBO,21147,0,0
YONDO,11996151,152,0
